channel,status,latitude,longitude,elevation
555,good,-43.87572200767932,169.0423713358931,
556,good,-43.87575779054667,169.04238326351555,
557,good,-43.87579357341404,169.042395191138,
558,good,-43.8758293562814,169.04240711876048,
559,good,-43.875865139148765,169.04241904638292,
560,good,-43.87590086435177,169.04243091288765,
561,good,-43.87593654859593,169.0424427359806,
562,good,-43.8759722328401,169.04245455907352,
563,good,-43.876007917084266,169.04246638216645,
564,good,-43.876043601328426,169.0424782052594,
565,good,-43.87607941925007,169.04249002835252,
566,good,-43.87611524680496,169.04250185144562,
567,good,-43.87615107435985,169.04251367453875,
568,good,-43.87618690191475,169.04252549763186,
569,good,-43.87622272946964,169.04253732072496,
570,good,-43.876258506796894,169.04254914381823,
571,good,-43.87629419104288,169.0425609669118,
572,good,-43.87632987528886,169.04257279000532,
573,good,-43.87636555953484,169.04258461309888,
574,good,-43.87640124378082,169.04259643619244,
575,good,-43.87643690299775,169.04260813414498,
576,good,-43.87647255141487,169.04261977810032,
577,good,-43.87650819983199,169.04263142205568,
578,good,-43.87654384824911,169.042643066011,
579,good,-43.876579496666224,169.04265470996634,
580,good,-43.87661516591295,169.04266637475126,
581,good,-43.876650993468246,169.0426781978445,
582,good,-43.87668682102354,169.04269002093778,
583,good,-43.876722648578834,169.04270184403103,
584,good,-43.87675847613413,169.04271366712427,
585,good,-43.87679430368942,169.04272549021752,
586,good,-43.876830054719,169.0427373133105,
587,good,-43.876865738962685,169.0427491364033,
588,good,-43.87690142320637,169.0427609594961,
589,good,-43.87693710745005,169.04277278258888,
590,good,-43.87697279169375,169.04278460568167,
591,good,-43.87700860234805,169.04279642877486,
592,good,-43.87704442990334,169.0428082518681,
593,good,-43.87708025745864,169.04282007496136,
594,good,-43.87711608501393,169.0428318980546,
595,good,-43.877151912569225,169.04284372114785,
596,good,-43.877187697163606,169.04285554424098,
597,good,-43.8772233814073,169.04286736733374,
598,good,-43.87725906565098,169.04287919042653,
599,good,-43.877294749894666,169.04289101351932,
600,good,-43.87733043413835,169.04290283661211,
601,good,-43.87736597911557,169.04291454364906,
602,good,-43.87740144839531,169.04292618760454,
603,good,-43.877436917675055,169.04293783155998,
604,good,-43.87747238695479,169.04294947551546,
605,good,-43.87750785623454,169.04296111947093,
606,good,-43.87754334973684,169.0429727989105,
607,good,-43.87757918846474,169.042984984078,
608,good,-43.877615027192654,169.0429971692455,
609,good,-43.87765086592056,169.043009354413,
610,good,-43.87768670464846,169.04302153958048,
611,good,-43.877722543376365,169.04303372474794,
612,good,-43.87775846262378,169.04304596029672,
613,good,-43.87779446736823,169.04305824934124,
614,good,-43.87783047211267,169.04307053838576,
615,good,-43.87786647685712,169.04308282743025,
616,good,-43.87790248160156,169.04309511647477,
617,good,-43.87793822415689,169.04310722736622,
618,good,-43.87797391925282,169.04311930600977,
619,good,-43.878009614348734,169.04313138465335,
620,good,-43.87804530944466,169.04314346329693,
621,good,-43.878081004540576,169.04315554194048,
622,good,-43.87811657705471,169.04316756894482,
623,good,-43.87815186320506,169.0431794753146,
624,good,-43.87818714935542,169.04319138168432,
625,good,-43.878222435505776,169.0432032880541,
626,good,-43.87825772165613,169.04321519442385,
627,good,-43.87829360650836,169.04322685629484,
628,good,-43.87832977261767,169.04323840330565,
629,good,-43.878365938726986,169.04324995031644,
630,good,-43.8784021048363,169.04326149732725,
631,good,-43.87843823217128,169.04327305573435,
632,good,-43.87847396956156,169.04328472875127,
633,good,-43.878509706951846,169.0432964017682,
634,good,-43.87854544434213,169.04330807478513,
635,good,-43.878581181732415,169.04331974780206,
636,good,-43.8786169191227,169.043331420819,
637,good,-43.87865252792222,169.04334410819658,
638,good,-43.87868801899111,169.04335772426705,
639,good,-43.878723510060006,169.0433713403375,
640,good,-43.8787590011289,169.04338495640795,
641,good,-43.87879442769278,169.04339869947364,
642,good,-43.87882838454694,169.0434153360532,
643,good,-43.8788623414011,169.04343197263276,
644,good,-43.87889629825527,169.0434486092123,
645,good,-43.87893025510943,169.04346524579188,
646,good,-43.87896451958717,169.04348369059608,
647,good,-43.87899894672522,169.0435030915247,
648,good,-43.87903337386327,169.04352249245335,
649,good,-43.87906780100133,169.04354189338198,
650,good,-43.87910222813939,169.0435612943106,
651,good,-43.879135461836746,169.04358320191818,
652,good,-43.87916688011995,169.04360892258526,
653,bad,,,
654,bad,,,
655,bad,,,
656,bad,,,
657,bad,,,
658,bad,,,
659,bad,,,
660,bad,,,
661,bad,,,
662,bad,,,
663,bad,,,
664,bad,,,
665,bad,,,
666,bad,,,
667,bad,,,
668,good,-43.87919829840317,169.04363464325235,
669,good,-43.87922971668638,169.04366036391943,
670,good,-43.8792611349696,169.0436860845865,
671,good,-43.8792925532528,169.0437118052536,
672,good,-43.87932181759015,169.04374107931315,
673,good,-43.87934474650804,169.0437808049965,
674,good,-43.879367675425925,169.0438205306798,
675,good,-43.87939060434382,169.04386025636313,
676,good,-43.87941452365895,169.04389862213637,
677,good,-43.8794394215547,169.04393564422483,
678,good,-43.879464319450456,169.0439726663133,
679,good,-43.879489217346205,169.04400968840176,
680,good,-43.87951411524196,169.04404671049022,
681,good,-43.87954002430047,169.04408277734032,
682,good,-43.87956606586893,169.0441187190092,
683,good,-43.87959210743739,169.04415466067803,
684,good,-43.87961814900585,169.0441906023469,
685,good,-43.87964422468215,169.04422648432706,
686,good,-43.879670409730295,169.04426217490635,
687,good,-43.87969659477845,169.04429786548567,
688,good,-43.87972277982659,169.044333556065,
689,good,-43.87974896487473,169.04436924664432,
690,good,-43.87977514992288,169.04440493722365,
691,good,-43.8798012399849,169.04444079402876,
692,good,-43.87982728155337,169.04447673569763,
693,good,-43.87985332312183,169.04451267736647,
694,good,-43.87987936469029,169.04454861903534,
695,good,-43.879905405699176,169.04458455678713,
696,good,-43.8799314113985,169.0446202473676,
697,good,-43.87995741709783,169.04465593794805,
698,good,-43.879983422797146,169.04469162852848,
699,good,-43.88000942849647,169.04472731910894,
700,good,-43.8800354341958,169.0447630096894,
701,good,-43.88006145567351,169.04479881072294,
702,good,-43.88008749724097,169.04483475239044,
703,good,-43.880113538808445,169.04487069405795,
704,good,-43.88013958037592,169.04490663572545,
705,good,-43.88016562194339,169.04494257739293,
706,good,-43.88019177736083,169.04497831982744,
707,good,-43.8802179624098,169.0450140104079,
708,good,-43.880244147458775,169.04504970098833,
709,good,-43.88027033250775,169.0450853915688,
710,good,-43.88029651755673,169.04512108214925,
711,good,-43.880322656554064,169.04515681704348,
712,good,-43.88034863014455,169.04519271110254,
713,good,-43.88037460373504,169.0452286051616,
714,good,-43.88040057732552,169.0452644992207,
715,good,-43.88042655091601,169.04530039327977,
716,good,-43.8804525245065,169.04533628733884,
717,good,-43.8804787771179,169.04537151167207,
718,good,-43.88050516487772,169.04540641161245,
719,good,-43.88053155263753,169.04544131155285,
720,good,-43.88055794039735,169.04547621149325,
721,good,-43.88058432815716,169.04551111143363,
722,good,-43.88061172167897,169.04554535726368,
723,good,-43.88063914147688,169.0455795860047,
724,good,-43.88066656127479,169.0456138147457,
725,good,-43.8806939810727,169.04564804348672,
726,good,-43.88072140087061,169.04568227222774,
727,good,-43.88074930938113,169.04571567986594,
728,good,-43.88077763334884,169.04574838948025,
729,good,-43.88080595731654,169.04578109909457,
730,good,-43.88083428128424,169.04581380870889,
731,good,-43.88086260525196,169.0458465183232,
732,good,-43.88089094737402,169.04587911992613,
733,good,-43.88091953787622,169.04591024376398,
734,good,-43.88094812837841,169.0459413676018,
735,good,-43.8809767188806,169.04597249143964,
736,good,-43.88100530938279,169.04600361527747,
737,good,-43.88103389988499,169.0460347391153,
738,good,-43.88106316316392,169.04606516316397,
739,good,-43.88109299540557,169.04609499540558,
740,good,-43.881122827647225,169.04612482764722,
741,good,-43.88115265988888,169.04615465988888,
742,good,-43.88118249213053,169.04618449213052,
743,good,-43.88121406757893,169.04621084570377,
744,good,-43.88124587531936,169.04623673572505,
745,good,-43.88127768305979,169.04626262574632,
746,good,-43.88130949080022,169.0462885157676,
747,good,-43.88134129854065,169.04631440578888,
748,good,-43.88137340670006,169.04633924272707,
749,good,-43.8814058470018,169.0463629153797,
750,good,-43.88143828730354,169.0463865880323,
751,good,-43.88147072760528,169.04641026068492,
752,good,-43.88150316790701,169.04643393333754,
753,good,-43.88153643861969,169.04645542464547,
754,good,-43.881569788763066,169.04647670730276,
755,good,-43.88160313890644,169.04649798996005,
756,good,-43.88163648904983,169.04651927261733,
757,good,-43.88167004925614,169.0465397011906,
758,good,-43.88170399113148,169.0465585779555,
759,good,-43.881737933006825,169.0465774547204,
760,good,-43.88177187488216,169.04659633148526,
761,good,-43.88180581675751,169.04661520825016,
762,good,-43.88183975863285,169.04663408501506,
763,good,-43.881874906126825,169.04665111717787,
764,good,-43.88191027379425,169.0466678124743,
765,good,-43.88194564146167,169.04668450777072,
766,good,-43.88198100912909,169.04670120306716,
767,good,-43.88201627646172,169.04671699344368,
768,good,-43.8820513021539,169.04673060446396,
769,good,-43.88208632784608,169.04674421548424,
770,good,-43.88212135353826,169.04675782650452,
771,good,-43.88215637923044,169.04677143752477,
772,good,-43.882191404922615,169.04678504854505,
773,good,-43.882226637861606,169.04679756026658,
